actiontype,actiondate,treeid,supervisordistrict,addressno,altdescription,legalstatus,ownername,siteorder,locsite,sitetype,planttype,scientificname,commonname,treephoto,x,y,lat,long,point,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
Posted 24hr,2024-03-13T00:00:00.000,214008,11,222,Sadowa St  :  Capitol Ave  -  Orizaba Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Yard,Tree,Quercus suber,Cork Oak,{'url': 'http://bsm.sfdpw.org/treephotos/214008/mobilePic1710350414804.jpg'},5994773.56041,2087779.1496,37.7122846280803,-122.46079820981998,"{'type': 'Point', 'coordinates': [-122.461, 37.7123]}",81,81,10,1,24
Posted 15 Day,2019-05-31T00:00:00.000,206637,7,159,Castenada Ave  :  Magellan Ave  -  Pacheco St,DPW Maintained,Private,2,"Sidewalk, Curb side",Yard,Tree,Crataegus laevigata,English Hawthorn,{'url': 'http://bsm.sfdpw.org/treephotos/206637/mobilePic1559331499625.jpg'},5994549.87925,2100894.15199,37.74832267604448,-122.46171120896528,"{'type': 'Point', 'coordinates': [-122.462, 37.7483]}",45,45,10,8,41
Posted 24hr,2021-03-26T00:00:00.000,222152,8,4400,25th St  :  Douglass St  -  Homestead St,DPW Maintained,Private,6,"Sidewalk, Curb side",Cutout,Tree,Callistemon citrinus,Lemon Bottlebrush,{'url': 'http://bsm.sfdpw.org/treephotos/222152/mobilePic1616793577613.jpg'},6001173.41944,2101164.80243,37.749397717561386,-122.4388551341449,"{'type': 'Point', 'coordinates': [-122.439, 37.7494]}",51,51,3,5,22
Posted 30 Day,2020-01-23T00:00:00.000,202529,6,578,02nd St  :  South Park  -  De Boom St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Lophostemon confertus,Brisbane Box,{'url': 'http://bsm.sfdpw.org/treephotos/202529/mobilePic1587754069549.jpg'},6014696.67264,2112847.88633,37.7823655607331,-122.39272712602707,"{'type': 'Point', 'coordinates': [-122.393, 37.7824]}",31,31,1,10,8
Posted 15 Day,2018-09-24T00:00:00.000,246809,9,161,Brewster St  :  Faith St  -  Joy St,DPW Maintained,Private,1,"Sidewalk, Curb side",Yard,Tree,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/246809/mobilePic1537823903013.jpg'},6010252.11367,2098972.92466,37.744120572197275,-122.40717037271828,"{'type': 'Point', 'coordinates': [-122.407, 37.7441]}",60,60,9,2,2
Posted 15 Day,2017-11-01T00:00:00.000,217989,7,2643,18th Ave  :  Vicente St  -  Wawona St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Tree(s),,{'url': 'http://bsm.sfdpw.org/treephotos/217989/mobilePic1509567354727.jpg'},5990789.38852,2097396.88042,37.73842382663111,-122.47429864891947,"{'type': 'Point', 'coordinates': [-122.474, 37.7384]}",46,46,10,8,41
Posted 15 Day,2019-09-19T00:00:00.000,237940,8,67,Potomac St  :  Start: 01-99 Block  -  Waller St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus domestica 'Mariposa',Mariposa Plum,{'url': 'http://bsm.sfdpw.org/treephotos/237940/mobilePic1568918791185.jpg'},6003085.03748,2108738.20516,37.770376953355196,-122.43261973932911,"{'type': 'Point', 'coordinates': [-122.433, 37.7704]}",28,28,7,5,3
Posted 30 Day,2017-12-29T00:00:00.000,18500,3,519,Powell St  :  Sutter St  -  Anson Pl,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ficus nitida,Laurel Fig,{'url': 'http://bsm.sfdpw.org/treephotos/18500/mobilePic1514580007466.jpg'},6010154.14929,2115557.66128,37.78953926123699,-122.40865921562045,"{'type': 'Point', 'coordinates': [-122.409, 37.7895]}",19,19,6,3,21
Posted 15 Day,2018-05-11T00:00:00.000,5626,8,1212,Dolores St  :  25th St  -  Clipper St,DPW Maintained,DPW,2,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',{'url': 'http://bsm.sfdpw.org/treephotos/5626/mobilePic1526068173261.jpg'},6005119.51713,2101140.67706,37.749830585992264,-122.42504229732347,"{'type': 'Point', 'coordinates': [-122.425, 37.7498]}",52,52,3,5,22
Posted 24hr,2022-06-28T00:00:00.000,209355,5,1390,14th Ave  :  Irving St  -  Judah St,DPW Maintained,Private,4,"Sidewalk, Curb side",Cutout,Empty,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/209355/mobilePic1656453237652.jpg'},5991809.44084,2106050.46726,37.76287075298173,-122.47160270063995,"{'type': 'Point', 'coordinates': [-122.472, 37.7629]}",109,109,10,11,14
Posted 30 Day,2019-07-16T00:00:00.000,209148,5,217,Hugo St  :  03rd Ave  -  04th Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Eucalyptus polyanthemos,Silver Dollar Eucalyptus,{'url': 'http://bsm.sfdpw.org/treephotos/209148/mobilePic1605826358085.jpg'},5995023.41571,2107016.68952,37.76523304632662,-122.46048806026648,"{'type': 'Point', 'coordinates': [-122.46, 37.7652]}",109,109,7,11,14
Posted 15 Day,2018-10-30T00:00:00.000,130094,6,70,Leavenworth St  :  McAllister St  -  Golden Gate Ave,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Potential,Planting site (cut),Planting Site (cut),{'url': 'http://bsm.sfdpw.org/treephotos/130094/mobilePic1727295384469.jpg'},6008652.39355,2112664.78131,37.781395083640625,-122.41377098166053,"{'type': 'Point', 'coordinates': [-122.414, 37.7814]}",21,21,5,10,36
Posted 30 Day,2018-02-01T00:00:00.000,219617,8,3451,22nd St  :  Fair Oaks St  -  Quane St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Empty,Planting site (pave),Planting Site (pave),{'url': 'http://bsm.sfdpw.org/treephotos/219617/mobilePic1516388383702.jpg'},6005334.92785,2103106.83425,37.755090359778876,-122.42455622688937,"{'type': 'Point', 'coordinates': [-122.425, 37.7551]}",52,52,3,5,20
Posted 24hr,2023-03-28T00:00:00.000,128393,3,316,Sutter St  :  Grant Ave  -  Stockton St,DPW Maintained,Private,1,"Sidewalk, Curb side",Pot,Tree,Paved Over,Paved Over,{'url': 'http://bsm.sfdpw.org/treephotos/128393/mobilePic1680032326429.jpg'},6010905.19154,2115590.48472,37.7895326285806,-122.40617783124284,"{'type': 'Point', 'coordinates': [-122.406, 37.7895]}",19,19,6,3,8
Posted 24hr,2022-01-05T00:00:00.000,141199,5,1801,Ellis St  :  Pierce St  -  Scott St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Corymbia ficifolia,Red Flowering Gum,{'url': 'http://bsm.sfdpw.org/treephotos/141199/mobilePic1641415110174.jpg'},6002161.0078,2112927.9978,37.78183369092794,-122.43663008743148,"{'type': 'Point', 'coordinates': [-122.437, 37.7818]}",97,97,4,11,39
Posted 15 Day,2017-12-06T00:00:00.000,110301,2,3727,Buchanan St  :  North Point St  -  Beach St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Pittosporum undulatum,Victorian Box,{'url': 'http://bsm.sfdpw.org/treephotos/110301/mobilePic1512590962174.jpg'},6003051.71719,2121145.37774,37.80454267311417,-122.43362730142613,"{'type': 'Point', 'coordinates': [-122.434, 37.8045]}",17,17,4,6,13
Posted 15 Day,2018-08-20T00:00:00.000,236413,5,4925,17th St  :  Shrader St  -  Stanyan St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/236413/mobilePic1534799919761.jpg'},5997712.3419,2105609.87464,37.76151965918141,-122.45126886961026,"{'type': 'Point', 'coordinates': [-122.451, 37.7615]}",114,114,7,11,14
Posted 15 Day,2018-12-14T00:00:00.000,17224,11,1880,Alemany Blvd  :  Ocean Ave  -  Onondaga Ave,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Acacia baileyana,Bailey's Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/17224/mobilePic1544824295706.jpg'},6001029.5778,2091188.70927,37.722682326205266,-122.4380685211588,"{'type': 'Point', 'coordinates': [-122.438, 37.7227]}",80,80,9,1,28
Posted 24hr,2022-05-10T00:00:00.000,62476,11,18,Santa Ysabel Ave  :  Capistrano Ave  -  Otsego Ave,Section 806 (d),Private,1,"Sidewalk, Curb side",Cutout,Tree,Laurus x 'Saratoga',Hybrid Laurel,{'url': 'http://bsm.sfdpw.org/treephotos/62476-291290.jpg'},6001028.2861,2093062.8375,37.72704144761607,-122.4384763202156,"{'type': 'Point', 'coordinates': [-122.438, 37.727]}",94,94,9,1,28
Posted 30 Day,2018-10-03T00:00:00.000,11038,3,1520,Hyde St  :  Jackson St  -  Pacific Ave,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',{'url': 'http://bsm.sfdpw.org/treephotos/11038/mobilePic1588355291619.jpg'},6007480.78096,2117584.84386,37.79501545949207,-122.4182028926048,"{'type': 'Point', 'coordinates': [-122.418, 37.795]}",16,16,6,3,32
Posted 15 Day,2017-08-11T00:00:00.000,23902,5,1600,Webster St  :  Post St  -  Sutter St,DPW Maintained,DPW,5,Median,Cutout,Tree,Prunus subhirtella 'Pendula',Weeping Cherry,{'url': 'http://bsm.sfdpw.org/treephotos/23902/mobilePic1634236814832.jpg'},6003560.0188,2114334.411,37.78584523018503,-122.43137452219067,"{'type': 'Point', 'coordinates': [-122.431, 37.7858]}",101,101,4,11,15
Posted 24hr,2023-04-03T00:00:00.000,51571,1,494,36th Ave  :  Unnamed 010  -  Geary Blvd,Street Tree Maintenance Opt Out,Private,1,"Sidewalk, Curb side",Cutout,Abandoned,Landscape Plants,Landscape Plants,{'url': 'http://bsm.sfdpw.org/treephotos/51571/mobilePic1712963072743.jpg'},5984728.58104,2112539.46721,37.77985403177037,-122.49654477409396,"{'type': 'Point', 'coordinates': [-122.497, 37.7799]}",8,8,8,4,29
Posted 24hr,2021-11-04T00:00:00.000,173641,6,657,Howard St  :  Hawthorne St  -  03rd St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Pittosporum undulatum,Victorian Box,{'url': 'http://bsm.sfdpw.org/treephotos/173641/mobilePic1636048833671.jpg'},6012793,2114089,37.785464753905366,-122.39991901226239,"{'type': 'Point', 'coordinates': [-122.4, 37.7855]}",32,32,1,10,8
Posted 24hr,2020-07-16T00:00:00.000,261364,9,37,Bache St  :  Crescent Ave  -  Benton Ave,Undocumented,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/261364/mobilePic1594932733844.jpg'},6007227,2095555,37.734435172408034,-122.4175248873531,"{'type': 'Point', 'coordinates': [-122.418, 37.7344]}",61,61,9,2,2
Posted 30 Day,2018-08-21T00:00:00.000,228015,5,1224,Cole St  :  Alma St  -  Rivoli St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,{'url': 'http://bsm.sfdpw.org/treephotos/228015/mobilePic1631918559319.jpg'},5998227.909,2106103.56312,37.76285946956089,-122.44936467478891,"{'type': 'Point', 'coordinates': [-122.449, 37.7629]}",114,114,7,11,3
Posted 15 Day,2019-12-03T00:00:00.000,221116,9,444,Ellsworth St  :  Jarboe Ave  -  Tompkins Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Arbutus unedo,Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/221116/mobilePic1575400426661.jpg'},6008032.55472,2096752.52732,37.737762125683055,-122.41466787882351,"{'type': 'Point', 'coordinates': [-122.415, 37.7378]}",83,83,9,2,2
Posted 15 Day,2017-11-17T00:00:00.000,189844,10,101,Newhall St  :  Start: 100-199 Block  -  Mendell St,DPW Maintained,Private,6,"Sidewalk, Curb side",Cutout,Tree,Ceratonia siliqua,Carob,{'url': 'http://bsm.sfdpw.org/treephotos/189844/mobilePic1510947595196.jpg'},6017173.06513,2098183.08322,37.742225067855536,-122.38313033138671,"{'type': 'Point', 'coordinates': [-122.383, 37.7422]}",76,76,2,9,1
