actiontype,actiondate,treeid,supervisordistrict,addressno,altdescription,legalstatus,ownername,siteorder,locsite,sitetype,planttype,scientificname,commonname,treephoto,x,y,lat,long,point,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
Posted 24hr,2021-01-21T00:00:00.000,211149,7,100,Terrace Dr  :  Santa Clara Ave  -  Terrace Walk,Significant Tree,Private,8,"Sidewalk, Curb side",Yard,Tree,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/211149/mobilePic1611269486543.jpg'},5993545.6652,2096759.54622,37.7369538633472,-122.46473384936183,"{'type': 'Point', 'coordinates': [-122.465, 37.737]}",116,116,10,8,41
Posted 15 Day,2019-07-31T00:00:00.000,181629,4,1298,24th Ave  :  Lincoln Way  -  Irving St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/181629/mobilePic1726179792442.jpg'},5988658.9816,2106523.539,37.76426780294347,-122.48254854321944,"{'type': 'Point', 'coordinates': [-122.483, 37.7643]}",39,39,10,7,35
Posted 30 Day,2019-02-27T00:00:00.000,258047,3,1250,Columbus Ave  :  Bay St  -  North Point St,Undocumented,Private,3,"Sidewalk, Curb side",Cutout,Tree,Ficus nitida,Laurel Fig,,6007719,2121534,37.805573496919926,-122.4178034232645,"{'type': 'Point', 'coordinates': [-122.418, 37.8056]}",99,99,6,6,32
Posted 15 Day,2018-08-07T00:00:00.000,220035,8,1711,Castro St  :  26th St  -  Cesar Chavez St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/220035/mobilePic1559080633204.jpg'},6002636.34581,2100467.82106,37.74769673972955,-122.43373319458752,"{'type': 'Point', 'coordinates': [-122.434, 37.7477]}",84,84,3,5,22
Posted 15 Day,2018-10-15T00:00:00.000,223798,8,250,States St  :  Castro St  -  Levant St,DPW Maintained,Private,1,Front Yard,Yard,Tree,Cupressus macrocarpa,Monterey Cypress,{'url': 'http://bsm.sfdpw.org/treephotos/223798-198855.jpg'},6000691.89745,2106604.60917,37.76345149285314,-122.43897720740101,"{'type': 'Point', 'coordinates': [-122.439, 37.7635]}",113,113,7,5,5
Posted 15 Day,2021-09-02T00:00:00.000,130115,6,411,Turk St  :  Hyde St  -  Dodge Pl,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Lophostemon confertus,Brisbane Box,{'url': 'http://bsm.sfdpw.org/treephotos/130115/mobilePic1648154330454.jpg'},6008015.71618,2113047.45976,37.78250271369687,-122.41633843486726,"{'type': 'Point', 'coordinates': [-122.416, 37.7825]}",20,20,5,10,36
Posted 15 Day,2018-03-14T00:00:00.000,188116,,1530,03rd St  :  Start:  Block  -  16th St,DPW Maintained,Private,15,"Sidewalk, Curb side",Cutout,Tree,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/188116/mobilePic1521059314258.jpg'},6015593.45199,2107476.0616,37.76738609670323,-122.38924006398875,"{'type': 'Point', 'coordinates': [-122.389, 37.7674]}",34,34,1,10,4
Posted 30 Day,2017-11-08T00:00:00.000,7710,6,45,Franklin St  :  Lily St  -  Oak St,DPW Maintained,DPW,3,"Sidewalk, Curb side",Cutout,Empty,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/7710/mobilePic1581447294724.jpg'},6006505.57437,2110325.13763,37.77499606492583,-122.42090953533236,"{'type': 'Point', 'coordinates': [-122.421, 37.775]}",21,21,4,11,9
Posted 30 Day,2023-12-18T00:00:00.000,190200,6,100,Mission St  :  Spear St  -  Main St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',{'url': 'http://bsm.sfdpw.org/treephotos/190200/mobilePic1717786878594.jpg'},6014315.19536,2116534.70436,37.79218964086212,-122.39449993288866,"{'type': 'Point', 'coordinates': [-122.394, 37.7922]}",108,108,1,10,8
Posted 24hr,2024-12-06T00:00:00.000,122665,5,400,Laguna St  :  Oak St  -  Hickory St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Stump (use Grinder),Stump (use Grinder),,,,37.77482409508249,-122.42593399278695,"{'type': 'Point', 'coordinates': [-122.426, 37.7748]}",22,22,4,11,9
Posted 15 Day,2018-09-17T00:00:00.000,235892,9,2770,23rd St  :  Hampshire St  -  York St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/235892/mobilePic1537215322292.jpg'},6010136.64698,2102829.23779,37.75447959131296,-122.40789567308742,"{'type': 'Point', 'coordinates': [-122.408, 37.7545]}",53,53,3,2,20
Posted 15 Day,2018-10-25T00:00:00.000,121990,1,540,15th Ave  :  Anza St  -  Balboa St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Myoporum laetum,Myoporum,{'url': 'http://bsm.sfdpw.org/treephotos/121990/mobilePic1625173979309.jpg'},5991292.1464,2111705.30328,37.77772284626091,-122.47376552648925,"{'type': 'Point', 'coordinates': [-122.474, 37.7777]}",5,5,8,4,29
Posted 30 Day,2023-05-15T00:00:00.000,271364,5,702,Stanyan St  :  Haight St  -  Waller St,Significant Tree,Private,1,Front Yard,Yard,Tree,Ficus microcarpa,Chinese Banyan,{'url': 'http://bsm.sfdpw.org/treephotos/271364/mobilePic1683824692883.jpg'},5997124,2108265,37.768705611537705,-122.45344458114148,"{'type': 'Point', 'coordinates': [-122.453, 37.7687]}",25,25,7,11,3
Posted 24hr,2022-04-27T00:00:00.000,109644,11,12,Canyon Dr  :  South Hill Blvd  -  County Line,DPW Maintained,DPW,4,Median,Yard,Tree,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/109644/mobilePic1681423764229.jpg'},6003170.82665,2086356.53342,37.70890390997352,-122.43094620484993,"{'type': 'Point', 'coordinates': [-122.431, 37.7089]}",58,58,9,1,7
Posted 15 Day,2018-01-19T00:00:00.000,196512,10,625,King St  :  07th St  -  Division St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Tree(s),,{'url': 'http://bsm.sfdpw.org/treephotos/196512/mobilePic1516386023757.jpg'},6011914.18479,2108425.06588,37.770501738293966,-122.40160408918588,"{'type': 'Point', 'coordinates': [-122.402, 37.7705]}",33,33,1,9,4
Posted 15 Day,2019-10-10T00:00:00.000,260833,7,30,Paloma Ave  :  Ocean Ave  -  Moncada Way,Undocumented,Private,1,"Sidewalk, Curb side",Cutout,Abandoned,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/260833/mobilePic1570736133700.jpg'},5992351,2093917,37.72896788804448,-122.46875684648094,"{'type': 'Point', 'coordinates': [-122.469, 37.729]}",67,67,10,8,41
Posted 30 Day,2018-08-07T00:00:00.000,238567,8,638,27th St  :  Castro St  -  Kronquist Ct,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus blireiana,Flowering Plum,{'url': 'http://bsm.sfdpw.org/treephotos/238567/mobilePic1533676898257.jpg'},6002382.79124,2100064.95153,37.746471785505975,-122.43433295994032,"{'type': 'Point', 'coordinates': [-122.434, 37.7465]}",84,84,9,5,22
Posted 24hr,2020-09-23T00:00:00.000,66514,2,2185,Bay St  :  Scott St  -  Divisadero St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Pittosporum undulatum,Victorian Box,{'url': 'http://bsm.sfdpw.org/treephotos/66514/mobilePic1600886281094.jpg'},6000331.08582,2120244.82027,37.8019443094294,-122.4423912595521,"{'type': 'Point', 'coordinates': [-122.442, 37.8019]}",17,17,4,6,13
Posted 15 Day,2019-02-06T00:00:00.000,6268,,1355,Ellis St  :  Quickstep Ln  -  Inca Ln,DPW Maintained,DPW,3,"Sidewalk, Curb side",Cutout,Tree,Lophostemon confertus,Brisbane Box,{'url': 'http://bsm.sfdpw.org/treephotos/6268/mobilePic1549484868443.jpg'},6004382.3039,2113241.9841,37.78288351174735,-122.42838270836528,"{'type': 'Point', 'coordinates': [-122.428, 37.7829]}",97,97,4,11,39
Posted 30 Day,2018-02-13T00:00:00.000,254418,10,1245,Ingalls St  :  La Salle Ave  -  George Ct,Undocumented,Private,12,"Sidewalk, Curb side",Cutout,Tree,Eucalyptus polyanthemos,Silver Dollar Eucalyptus,{'url': 'http://bsm.sfdpw.org/treephotos/254418/mobilePic1518558055936.jpg'},6017856,2093901,37.73062105147796,-122.38185363509682,"{'type': 'Point', 'coordinates': [-122.382, 37.7306]}",78,78,2,9,1
Posted 24hr,2024-02-14T00:00:00.000,217915,7,235,Edgewood Ave  :  Belmont Ave  -  End: 125-299 Block,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/217915/mobilePic1707941614132.jpg'},5996547.21753,2105667.97854,37.76192438591558,-122.45497844770892,"{'type': 'Point', 'coordinates': [-122.455, 37.7619]}",110,110,7,11,14
Posted 15 Day,2018-01-04T00:00:00.000,254133,7,100,Lake Merced Blvd  :  Skyline Blvd  -  Lakeshore Dr,DPW Maintained,DPW,7,Median,Yard,Tree,Cupressus macrocarpa,Monterey Cypress,{'url': 'http://bsm.sfdpw.org/treephotos/254133/mobilePic1515096295877.jpg'},5983894,2095251,37.73177143766544,-122.49819183698773,"{'type': 'Point', 'coordinates': [-122.498, 37.7318]}",43,43,10,8,35
Posted 30 Day,2018-01-30T00:00:00.000,234388,8,1069,Dolores St  :  23rd St  -  24th St,Landmark tree,Private,2,"Sidewalk, Curb side",Cutout,Tree,Phoenix canariensis,Canary Island Date Palm,{'url': 'http://bsm.sfdpw.org/treephotos/234388-179360.jpg'},6005149.23502,2102137.71701,37.752639522931524,-122.42515673412876,"{'type': 'Point', 'coordinates': [-122.425, 37.7526]}",52,52,3,5,20
Posted 30 Day,2020-10-07T00:00:00.000,44400,11,1127,Munich St  :  Cordova St  -  Drake St,Permitted Site,Private,2,"Sidewalk, Curb side",Cutout,Tree,Tree(s),,{'url': 'http://bsm.sfdpw.org/treephotos/44400/mobilePic1602106606943.jpg'},6001650.52714,2087033.38345,37.71074797242552,-122.43612789114317,"{'type': 'Point', 'coordinates': [-122.436, 37.7107]}",58,58,9,1,7
Posted 30 Day,2021-04-30T00:00:00.000,265582,10,934,Carolina St  :  22nd St  -  23rd St,DPW Maintained,DPW,,"Sidewalk, Curb side",Cutout,Tree,Pittosporum undulatum,Victorian Box,{'url': 'http://bsm.sfdpw.org/treephotos/265582/mobilePic1624648165542.jpg'},6012425,2103570,37.75596173127078,-122.39986152234464,"{'type': 'Point', 'coordinates': [-122.4, 37.756]}",54,54,2,9,26
Posted 15 Day,2019-09-11T00:00:00.000,260512,7,180,Stratford Dr  :  Wyton Ln  -  Holloway Ave,Undocumented,Private,1,"Sidewalk, Property side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/260512/mobilePic1568241128328.jpg'},5990850,2091280,37.72219487470224,-122.4735569527541,"{'type': 'Point', 'coordinates': [-122.474, 37.7222]}",41,41,10,8,41
Posted 30 Day,2022-02-07T00:00:00.000,216039,11,24,Lobos St  :  Caine Ave  -  Plymouth Ave,DPW Maintained,Private,2,"Sidewalk, Curb side",Yard,Empty,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/216039-268352.jpg'},5996611.9102,2088695.96527,37.71491533239143,-122.4542725344627,"{'type': 'Point', 'coordinates': [-122.454, 37.7149]}",81,81,10,1,24
Posted 30 Day,2023-12-18T00:00:00.000,190196,6,60,Spear St  :  Market St  -  Mission St,DPW Maintained,Private,5,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',{'url': 'http://bsm.sfdpw.org/treephotos/190196/mobilePic1717786326172.jpg'},6014341.4496,2116607.32971,37.793145876766566,-122.39482158269881,"{'type': 'Point', 'coordinates': [-122.395, 37.7931]}",108,108,6,10,8
Posted 30 Day,2017-07-19T00:00:00.000,253125,7,1,Oak Park Dr  :  Clarendon Ave  -  Forest Knolls Dr,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Acer japonicum,Japanese Maple,,5996419,2103319,37.75519762543507,-122.4553054832943,"{'type': 'Point', 'coordinates': [-122.455, 37.7552]}",47,47,7,8,38
Posted 15 Day,2018-10-04T00:00:00.000,20594,4,1401,Sunset Blvd  :  Judah St  -  Kirkham St,DPW Maintained,DPW,5,"Sidewalk, Curb side",Cutout,Tree,Pinus radiata,Monterey Pine,{'url': 'http://bsm.sfdpw.org/treephotos/20594/mobilePic1538686283228.jpg'},5984795,2105637,37.759937036980155,-122.49575327816352,"{'type': 'Point', 'coordinates': [-122.496, 37.7599]}",39,39,10,7,35
Posted 15 Day,2019-03-18T00:00:00.000,245078,5,1387,Oak St  :  Baker St  -  Lyon St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Empty,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/245078/mobilePic1552935915792.jpg'},6000393.4407,2109556.4466,37.772608583798345,-122.44155656349153,"{'type': 'Point', 'coordinates': [-122.442, 37.7726]}",24,24,7,11,12
Posted 15 Day,2017-12-20T00:00:00.000,223077,6,585,York St  :  Mariposa St  -  18th St,DPW Maintained,FUF,3,"Sidewalk, Curb side",Cutout,Tree,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/223077/mobilePic1513808085573.jpg'},6009844.18484,2105634.67288,37.7624516563777,-122.40921828622,"{'type': 'Point', 'coordinates': [-122.409, 37.7625]}",53,53,3,9,20
Posted 15 Day,2018-10-05T00:00:00.000,184876,4,1201,Sunset Blvd  :  Martin Luther King Jr Dr  -  Irving St,DPW Maintained,Private,65,"Sidewalk, Property side",Yard,Tree,Acacia melanoxylon,Blackwood Acacia,,5984660.832,2106807.7277,37.76410055499252,-122.49589458546646,"{'type': 'Point', 'coordinates': [-122.496, 37.7641]}",39,39,10,7,35
Posted 24hr,2022-11-21T00:00:00.000,235726,6,2727,Mariposa St  :  Bryant St  -  Florida St,DPW Maintained,Private,1,Side Yard,Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/235726/mobilePic1669071957455.jpg'},6009380,2105794,37.76300101746111,-122.41072547689252,"{'type': 'Point', 'coordinates': [-122.411, 37.763]}",53,53,3,2,20
Posted 15 Day,2021-12-16T00:00:00.000,210614,5,1282,06th Ave  :  Hugo St  -  Irving St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Olea europaea,Olive Tree,{'url': 'http://bsm.sfdpw.org/treephotos/210614/mobilePic1639683424671.jpg'},5994262.74193,2106781.91452,37.76464601983007,-122.46313468147326,"{'type': 'Point', 'coordinates': [-122.463, 37.7646]}",109,109,7,11,14
Posted 30 Day,2021-04-12T00:00:00.000,265807,6,344,14th St  :  Julian Ave  -  Stevenson St,Significant Tree,Private,5,"Sidewalk, Property side",Yard,Tree,Pyrus calleryana,Ornamental Pear,,6006371.28811,2107904.81561,37.76819476734093,-122.42128720250695,"{'type': 'Point', 'coordinates': [-122.421, 37.7682]}",53,53,3,2,20
Posted 24hr,2020-08-03T00:00:00.000,262484,10,10,Alpha St  :  Goettingen St  -  Tioga Ave,Undocumented,Private,2,Median,Yard,Tree,Pinus radiata,Monterey Pine,{'url': 'http://bsm.sfdpw.org/treephotos/262484/mobilePic1596491966535.jpg'},6011300,2088596,37.71581595599947,-122.40234222675774,"{'type': 'Point', 'coordinates': [-122.402, 37.7158]}",75,75,9,9,40
Posted 24hr,2024-07-10T00:00:00.000,274463,9,1675,York St  :  Montcalm St  -  Holladay Ave,DPW Maintained,Private,1,Front Yard,Yard,Tree,Pseudotsuga menziesii,Douglas Fir,{'url': 'http://bsm.sfdpw.org/treephotos/274463-300555.jpg'},,,37.74674197664288,-122.40565324698507,"{'type': 'Point', 'coordinates': [-122.406, 37.7467]}",60,60,9,2,2
Posted 15 Day,2017-08-14T00:00:00.000,126624,3,801,Greenwich St  :  Columbus Ave  -  Mason St,DPW Maintained,DPW,1,Median,Yard,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/126624/mobilePic1524696913511.jpg'},6009066.28691,2120109.01558,37.801911983657135,-122.4126950822321,"{'type': 'Point', 'coordinates': [-122.413, 37.8019]}",107,107,6,3,32
Posted 30 Day,2023-05-15T00:00:00.000,246095,5,700,Stanyan St  :  Haight St  -  Waller St,DPW Maintained,Private,6,"Sidewalk, Curb side",Cutout,Tree,Ficus retusa nitida,Banyan Fig,{'url': 'http://bsm.sfdpw.org/treephotos/246095/mobilePic1683147972382.jpg'},5997104.5451,2108242.017,37.768705611537705,-122.45344458114148,"{'type': 'Point', 'coordinates': [-122.453, 37.7687]}",25,25,7,11,3
Posted 24hr,2019-08-30T00:00:00.000,256475,7,2901,,Undocumented,Private,1,Median,Yard,Tree,Stump,Stump,,5985408,2095918,37.733878963529776,-122.492418050385,"{'type': 'Point', 'coordinates': [-122.492, 37.7339]}",43,43,10,8,35
Posted 15 Day,2018-11-13T00:00:00.000,191855,6,573,10th St  :  Bryant St  -  Potrero Ave,DPW Maintained,DPW,2,"Sidewalk, Property side",Yard,Tree,Eucalyptus polyanthemos,Silver Dollar Eucalyptus,{'url': 'http://bsm.sfdpw.org/treephotos/191855/mobilePic1542210378727.jpg'},6009921.77605,2108434.69103,37.76972961847933,-122.40895539167404,"{'type': 'Point', 'coordinates': [-122.409, 37.7697]}",32,32,1,10,20
Posted 30 Day,2024-06-10T00:00:00.000,273258,9,49,Nevada St  :  Start: 01-74 Block  -  Chapman St,Significant Tree,Private,4,Back Yard,Yard,Tree,Umbellularia californica,California Bay,,6009086,2098359,37.742033841893196,-122.4113109704609,"{'type': 'Point', 'coordinates': [-122.411, 37.742]}",83,83,9,2,2
Posted 15 Day,2019-06-17T00:00:00.000,18556,10,1700,Quesada Ave  :  03rd St  -  Newhall St,DPW Maintained,DPW,11,Median,Cutout,Tree,Phoenix canariensis,Canary Island Date Palm,{'url': 'http://bsm.sfdpw.org/treephotos/18556/mobilePic1565108996886.jpg'},6014603.96741,2095108.67042,37.73386070127597,-122.39225402081976,"{'type': 'Point', 'coordinates': [-122.392, 37.7339]}",87,87,2,9,1
Posted 24hr,2021-07-09T00:00:00.000,194573,6,614,Minna St  :  07th St  -  Julia St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Pittosporum crassifolium,Karo Tree,{'url': 'http://bsm.sfdpw.org/treephotos/194573/mobilePic1625855738066.jpg'},6009542.67378,2111646.52636,37.7782022468013,-122.41113586489175,"{'type': 'Point', 'coordinates': [-122.411, 37.7782]}",32,32,1,10,34
Posted 15 Day,2018-10-04T00:00:00.000,185646,4,2100,Sunset Blvd  :  Quintara St  -  Rivera St,DPW Maintained,Private,26,"Sidewalk, Property side",Yard,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/185646/mobilePic1538679365121.jpg'},5985038.8408,2100503.1077,37.74688671180319,-122.49469494209544,"{'type': 'Point', 'coordinates': [-122.495, 37.7469]}",39,39,10,7,35
Posted 24hr,2023-02-28T00:00:00.000,2747,1,26,Cabrillo St  :  Arguello Blvd  -  02nd Ave,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Schinus terebinthifolius,Brazilian Pepper,{'url': 'http://bsm.sfdpw.org/treephotos/2747/mobilePic1719264199923.jpg'},5995511.83348,2110826.68765,37.775592431257635,-122.4590257013906,"{'type': 'Point', 'coordinates': [-122.459, 37.7756]}",5,5,8,4,11
Posted 30 Day,2017-12-08T00:00:00.000,54079,2,2200,Chestnut St  :  Pierce St  -  Avila St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (cut),Planting Site (cut),{'url': 'http://bsm.sfdpw.org/treephotos/54079-283459.jpg'},6001303.48961,2119734.44129,37.80035220580561,-122.43990688879306,"{'type': 'Point', 'coordinates': [-122.44, 37.8004]}",17,17,4,6,13
Posted 15 Day,2017-08-04T00:00:00.000,18870,2,2269,Sacramento St  :  Laguna St  -  Buchanan St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/18870/mobilePic1678215806941.jpg'},6003913,2115924,37.79035577028152,-122.42991454670963,"{'type': 'Point', 'coordinates': [-122.43, 37.7904]}",102,102,4,6,30
Posted 15 Day,2018-07-26T00:00:00.000,221142,8,500,27th St  :  27th St  -  Castro St,DPW Maintained,DPW,9,Median,Cutout,Tree,Arbutus unedo,Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/221142/mobilePic1532636962373.jpg'},6002785.01882,2100065.18091,37.74658899330119,-122.43286493488549,"{'type': 'Point', 'coordinates': [-122.433, 37.7466]}",84,84,9,5,22
Posted 15 Day,2018-11-28T00:00:00.000,250614,2,107,28th Ave  :  El Camino Del Mar  -  McLaren Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Yard,Tree,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/250614/mobilePic1543442534627.jpg'},5987083.69063,2115313.12063,37.786928977835565,-122.48845690851589,"{'type': 'Point', 'coordinates': [-122.488, 37.7869]}",1,1,8,6,33
Posted 15 Day,2022-09-20T00:00:00.000,73402,4,1434,43rd Ave  :  Judah St  -  Kirkham St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Agonis flexuosa,Peppermint Willow,{'url': 'http://bsm.sfdpw.org/treephotos/73402/mobilePic1663709615733.jpg'},5982802.3301,2105339.2702,37.75963333362265,-122.50264734446587,"{'type': 'Point', 'coordinates': [-122.503, 37.7596]}",39,39,10,7,35
Posted 15 Day,2017-09-26T00:00:00.000,203736,7,2322,12th Ave  :  Start: 2300-2350 Block  -  Magellan Ave,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Acacia melanoxylon,Blackwood Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/203736/mobilePic1506463508706.jpg'},5992651.25642,2099632.71887,37.74449386195811,-122.46816320189161,"{'type': 'Point', 'coordinates': [-122.468, 37.7445]}",45,45,10,8,41
Posted 15 Day,2018-08-16T00:00:00.000,247029,8,550,Valley St  :  Castro St  -  Valley St,DPW Maintained,DPW,7,Median,Yard,Tree,Pinus radiata,Monterey Pine,{'url': 'http://bsm.sfdpw.org/treephotos/247029/mobilePic1534452364615.jpg'},6002358.84031,2099162.32643,37.74406019777658,-122.43427007935337,"{'type': 'Point', 'coordinates': [-122.434, 37.7441]}",84,84,9,5,22
Posted 15 Day,2019-04-12T00:00:00.000,65815,2,2361,Bay St  :  Broderick St  -  Baker St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Pittosporum undulatum,Victorian Box,{'url': 'http://bsm.sfdpw.org/treephotos/65815/mobilePic1555094029134.jpg'},5999516.62542,2120129.3378,37.801521874081104,-122.44571142114944,"{'type': 'Point', 'coordinates': [-122.446, 37.8015]}",17,17,4,6,13
Posted 15 Day,2019-04-26T00:00:00.000,131735,2,2901,Washington St  :  Divisadero St  -  Broderick St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Magnolia grandiflora,Southern Magnolia,{'url': 'http://bsm.sfdpw.org/treephotos/131735/mobilePic1651264330124.jpg'},6000766.13673,2116181.54807,37.790647447163636,-122.44181936851969,"{'type': 'Point', 'coordinates': [-122.442, 37.7906]}",102,102,8,6,30
Posted 30 Day,2020-01-23T00:00:00.000,189184,6,40,Bluxome St  :  04th St  -  05th St,DPW Maintained,Private,4,"Sidewalk, Curb side",Cutout,Tree,Afrocarpus gracilior,Fern Pine,{'url': 'http://bsm.sfdpw.org/treephotos/189184/mobilePic1582147286476.jpg'},6013459.66135,2110901.5969,37.77681981252814,-122.39685672807914,"{'type': 'Point', 'coordinates': [-122.397, 37.7768]}",32,32,1,10,34
Posted 15 Day,2023-08-03T00:00:00.000,141125,1,212,Anza St  :  Wood St  -  Jean Way,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/141125/mobilePic1691100008160.jpg'},5998413.6632,2112679.5962,37.78084935110297,-122.44904688767531,"{'type': 'Point', 'coordinates': [-122.449, 37.7808]}",12,12,7,4,18
Posted 30 Day,2018-12-19T00:00:00.000,9452,6,800,Golden Gate Ave  :  Gough St  -  Laguna St,DPW Maintained,Rec/Park,8,"Sidewalk, Curb side",Cutout,Tree,Pistacia chinensis,Chinese Pistache,{'url': 'http://bsm.sfdpw.org/treephotos/9452/mobilePic1549399406377.jpg'},6005518.2175,2112416.7713,37.780402324115535,-122.42537387510771,"{'type': 'Point', 'coordinates': [-122.425, 37.7804]}",97,97,4,11,39
Posted 24hr,2020-11-17T09:19:33.000,139020,5,2557,Sutter St  :  Broderick St  -  Baker St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/139020-244970.jpg'},6000390.0231,2114072.2564,37.784931281356144,-122.44235986400791,"{'type': 'Point', 'coordinates': [-122.442, 37.7849]}",103,103,8,11,15
Posted 15 Day,2019-02-26T00:00:00.000,258037,7,55,Mercedes Way  :  Cedro Ave  -  Paloma Ave,Undocumented,Private,1,"Sidewalk, Property side",Yard,Tree,Pinus radiata,Monterey Pine,{'url': 'http://bsm.sfdpw.org/treephotos/258037/mobilePic1551222855110.jpg'},5991909,2093425,37.72799882495608,-122.47022674465288,"{'type': 'Point', 'coordinates': [-122.47, 37.728]}",67,67,10,8,41
Posted 15 Day,2019-07-17T00:00:00.000,259334,7,179,Midcrest Way  :  Cityview Way  -  End: 100-199 Block,DPW Maintained,DPW,1,Front Yard,Yard,Tree,Pinus radiata,Monterey Pine,{'url': 'http://bsm.sfdpw.org/treephotos/259334/mobilePic1563403406371.jpg'},5998457,2101296,37.74925532174608,-122.44858093617044,"{'type': 'Point', 'coordinates': [-122.449, 37.7493]}",51,51,7,5,38
Posted 15 Day,2018-07-18T00:00:00.000,232408,8,387,Beacon St  :  Harry St  -  Diamond St,DPW Maintained,Private,2,"Sidewalk, Property side",Yard,Tree,Myoporum laetum,Myoporum,{'url': 'http://bsm.sfdpw.org/treephotos/232408/mobilePic1531945955780.jpg'},6002395.6787,2098158.15456,37.74106558718259,-122.43369674330054,"{'type': 'Point', 'coordinates': [-122.434, 37.7411]}",59,59,9,5,10
Posted 24hr,2021-02-23T00:00:00.000,244915,5,148,Central Ave  :  Haight St  -  Page St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,{'url': 'http://bsm.sfdpw.org/treephotos/244915/mobilePic1631299422301.jpg'},5999914.503,2108981.3249,37.77089222839116,-122.44374261695145,"{'type': 'Point', 'coordinates': [-122.444, 37.7709]}",25,25,7,11,3
